county_label,month,donation_count,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,industry_invoice_count,industry_invoice_amount,year,month_num,month_sin,month_cos,industry_count_share,industry_amount_share,log_industry_invoice_count,log_industry_invoice_amount,log_total_county_invoice_count,log_total_county_invoice_amount,carrier_usage_ratio,n_active_industries,industry_hhi,industry_entropy,top1_industry_share,top3_industry_share,row_count_per_county_month,donation_count_lag1,donation_count_lag2,donation_count_lag3,donation_count_roll3_mean,donation_count_roll3_std,donation_count_roll3_min,donation_count_roll3_max,industry_label,carrier_type_label
0,2023-01,15186,39.7,0.33,9332770,5227299297,78,106409,2023,1,0.49999999999999994,0.8660254037844387,8.357647300854944e-06,2.0356400878187558e-05,4.3694478524670215,11.575054836435777,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,50,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,3091,1515083,2023,1,0.49999999999999994,0.8660254037844387,0.0003311985616274697,0.00028984049198589444,8.036573409707312,14.230981440933114,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,51,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,61699,10041767,2023,1,0.49999999999999994,0.8660254037844387,0.006611006164300631,0.0019210239225756734,11.030039209893479,16.122263752342374,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,51,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,4,33867,2023,1,0.49999999999999994,0.8660254037844387,4.285972974797407e-07,6.478871416342396e-06,1.6094379124341003,10.430225894762168,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,52,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,56,584757,2023,1,0.49999999999999994,0.8660254037844387,6.00036216471637e-06,0.00011186598791762278,4.04305126783455,13.278953365413123,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,52,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,106,23825313,2023,1,0.49999999999999994,0.8660254037844387,1.135782838321313e-05,0.004557862798036758,4.672828834461906,16.98625918685106,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,53,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,71966,32118663,2023,1,0.49999999999999994,0.8660254037844387,0.007711108277606756,0.006144408646819444,11.183962959598032,17.284947852155362,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,60,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,59,72200,2023,1,0.49999999999999994,0.8660254037844387,6.321810137826176e-06,1.3812103707441492e-05,4.0943445622221,11.187209175200515,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,61,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,4142,677694,2023,1,0.49999999999999994,0.8660254037844387,0.0004438125015402715,0.00012964514972175697,8.329175442077402,13.426452613201164,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,67,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,2227,847622,2023,1,0.49999999999999994,0.8660254037844387,0.00023862154537184567,0.0001621529497051104,7.708859601047175,13.650191240449368,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,67,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,10,8861275,2023,1,0.49999999999999994,0.8660254037844387,1.0714932436993519e-06,0.001695191818284745,2.3978952727983707,15.99720133027035,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,68,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,2283,17574884,2023,1,0.49999999999999994,0.8660254037844387,0.000244621907536562,0.00336213463233039,7.7336835707759,16.681981452254103,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,72,1
0,2023-01,15186,39.7,0.33,9332770,5227299297,83,10797,2023,1,0.49999999999999994,0.8660254037844387,8.89339392270462e-06,2.065502544726396e-06,4.430816798843313,9.287116210778231,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,77,0
0,2023-01,15186,39.7,0.33,9332770,5227299297,281,33736,2023,1,0.49999999999999994,0.8660254037844387,3.0108960147951787e-05,6.4538106741585336e-06,5.641907070938114,10.426350436912623,16.049042527656265,22.377160595034077,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0,77,1
