county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,carrier_usage_ratio,n_active_industries,industry_hhi,date,year,month_num,month_sin,month_cos,avg_invoice_value,log_total_count,log_total_amount,county_type,donation_seasonal,donation_trend,donation_ratio_lag1,donation_ratio_lag2,donation_ratio_lag3,donation_ratio_roll3,county_name
15,2020-01,29.32,-0.72,7342995,3948968683,0,0.0,0.16868335059468242,33.0,0.5914369772012324,2020-01-01,2020,1,0.49999999999999994,0.8660254037844387,537.7871948707577,15.809257491697116,22.096720289110593,remote,-0.00017330812957946315,0.0007476901541067161,0.001130735106435,0.0011521381460124,0.0011379060702092,0.0011402597742188666,花蓮縣
15,2022-01,33.86,-0.14,13081369,7394463285,7135,0.0005454322097327,0.3461526083393871,37.0,0.5650523163739701,2022-01-01,2022,1,0.49999999999999994,0.8660254037844387,565.2667763595691,16.38669963856963,22.723997352517188,remote,3.6862193274138644e-05,0.0006154378624232801,,,,,花蓮縣
15,2022-02,33.86,-0.14,12656559,6774987440,6210,0.0004906546874233,0.34579999192513544,36.0,0.5651120424706465,2022-02-01,2022,2,0.8660254037844386,0.5000000000000001,535.2945804621936,16.353686215798277,22.63650334998352,remote,-0.00016364503828750115,0.0006658304864767135,0.0005454322097327,,,0.0005454322097327,花蓮縣
15,2022-03,33.86,-0.14,13498809,6890665650,6901,0.0005112302870571,0.37314758657597125,37.0,0.546899749466248,2022-03-01,2022,3,1.0,6.123233995736766e-17,510.46471210904605,16.41811209137523,22.653433528481035,remote,0.00018839741324068996,0.0007219108644991958,0.0004906546874233,0.0005454322097327,,0.000518043448578,花蓮縣
15,2022-04,36.74,0.53,12460179,6558565950,6391,0.0005129139798071,0.3779280377914314,38.0,0.5668867429522583,2022-04-01,2022,4,0.8660254037844387,-0.49999999999999983,526.3620972058267,16.338048517447167,22.604037810974358,remote,6.979619647639934e-05,0.000779792103857586,0.0005112302870571,0.0004906546874233,0.0005454322097327,0.0005157723947376999,花蓮縣
15,2022-05,36.74,0.53,11676285,5845411352,7631,0.000653546911539,0.3933789728496692,38.0,0.5722146800909308,2022-05-01,2022,5,0.49999999999999994,-0.8660254037844387,500.6225312246147,16.273070505346116,22.488922806297442,remote,0.00028753024470481005,0.0008379696150236395,0.0005129139798071,0.0005112302870571,0.0004906546874233,0.0005049329847625,花蓮縣
15,2022-06,36.74,0.53,13384453,6638901421,10872,0.0008122857168686,0.3813326551335344,39.0,0.5752360964452639,2022-06-01,2022,6,1.2246467991473532e-16,-1.0,496.01589403765695,16.40960444217331,22.616212338252666,remote,4.275075264071037e-06,0.0008974507280277127,0.000653546911539,0.0005129139798071,0.0005112302870571,0.0005592303928010667,花蓮縣
15,2022-07,37.28,0.03,16268988,8507796123,10650,0.0006546196973038,0.3760798151673601,39.0,0.5466298215716238,2022-07-01,2022,7,-0.4999999999999998,-0.8660254037844388,522.9456265503422,16.604771338358557,22.8642487711388,remote,9.106180908197415e-05,0.0009579933987532482,0.0008122857168686,0.000653546911539,0.0005129139798071,0.0006595822027382333,花蓮縣
15,2022-08,37.28,0.03,16437366,8712007683,10553,0.0006420128383099,0.3857740954359719,39.0,0.5360624853079679,2022-08-01,2022,8,-0.8660254037844384,-0.5000000000000004,530.012392678973,16.61506777661477,22.88796810457852,remote,-0.0002047797362620454,0.0010185224301537195,0.0006546196973038,0.0008122857168686,0.000653546911539,0.0007068174419037999,花蓮縣
15,2022-09,37.28,0.03,14458650,7679457287,12885,0.0008911620379496,0.39129420796547393,40.0,0.573233632694108,2022-09-01,2022,9,-1.0,-1.8369701987210297e-16,531.1323869794206,16.48680347850338,22.76181471598406,remote,7.16433259868725e-05,0.0010800771694528814,0.0006420128383099,0.0006546196973038,0.0008122857168686,0.0007029727508274333,花蓮縣
15,2022-10,38.52,0.18,14197769,7828136800,13711,0.0009657151063663,0.40669889755214356,40.0,0.5769210681561663,2022-10-01,2022,10,-0.8660254037844386,0.5000000000000001,551.3638656890389,16.46859546798554,22.78099036218344,remote,-0.00016681836041592657,0.0011452586127848456,0.0008911620379496,0.0006420128383099,0.0006546196973038,0.0007292648578544333,花蓮縣
15,2022-11,38.52,0.18,13757534,7310865672,14300,0.0010394304676986,0.41092357104114735,42.0,0.5756691762177768,2022-11-01,2022,11,-0.5000000000000004,0.8660254037844384,531.4081485824422,16.43709723197969,22.71262752681565,remote,-0.00012323733982968485,0.0012178682488699828,0.0009657151063663,0.0008911620379496,0.0006420128383099,0.0008329633275419333,花蓮縣
15,2022-12,38.52,0.18,14253009,7272213134,14335,0.0010057525396917,0.4148197057898441,43.0,0.5759087261906218,2022-12-01,2022,12,-2.4492935982947064e-16,1.0,510.22300862926556,16.4724786704436,22.707326502385488,remote,-0.0002822083470187538,0.0012992990165245743,0.0010394304676986,0.0009657151063663,0.0008911620379496,0.0009654358706715,花蓮縣
15,2023-01,37.68,-0.3,7528243,3635517190,11173,0.0014841444411398,0.413283551022463,41.0,0.5870830664322347,2023-01-01,2023,1,0.49999999999999994,0.8660254037844387,482.9170883564731,15.834172372049396,22.014017218691258,remote,6.103890048881402e-05,0.0013875923540601527,0.0010057525396917,0.0010394304676986,0.0009657151063663,0.0010036327045855333,花蓮縣
15,2023-02,37.68,-0.3,6395538,2779293392,10309,0.001611905050052,0.4363027785934506,40.0,0.5605467000185802,2023-02-01,2023,2,0.8660254037844386,0.5000000000000001,434.5675675760194,15.671111274040674,21.745462557161115,remote,-0.0003329495808114059,0.001478433356845882,0.0014841444411398,0.0010057525396917,0.0010394304676986,0.0011764424828433666,花蓮縣
15,2023-03,37.68,-0.3,7110052,2965633993,13421,0.0018876092608042,0.44881134483967206,41.0,0.5667737580350134,2023-03-01,2023,3,1.0,6.123233995736766e-17,417.10440275261,15.777020256041373,21.81035667250823,remote,0.0003491229615984577,0.0015707135230691655,0.001611905050052,0.0014841444411398,0.0010057525396917,0.0013672673436278331,花蓮縣
15,2023-04,38.54,0.1,7369330,3127932172,13121,0.0017804875070053,0.43973047753323574,41.0,0.5812649561292691,2023-04-01,2023,4,0.8660254037844387,-0.49999999999999983,424.45272121074777,15.812837486639665,21.86363797557085,remote,8.691613621718886e-05,0.0016645485729135298,0.0018876092608042,0.001611905050052,0.0014841444411398,0.0016612195839986665,花蓮縣
15,2023-05,38.54,0.1,7332562,3040246966,15271,0.002082628145524,0.4508270097136581,41.0,0.5766439902220885,2023-05-01,2023,5,0.49999999999999994,-0.8660254037844387,414.62274250118855,15.807835671682275,21.835204588209557,remote,0.0005473232509630656,0.0017600002162500843,0.0017804875070053,0.0018876092608042,0.001611905050052,0.0017600006059538334,花蓮縣
15,2023-06,38.54,0.1,7496993,3160776318,13974,0.0018639473186116,0.44944699828317836,41.0,0.5807743346549266,2023-06-01,2023,6,1.2246467991473532e-16,-1.0,421.60587825011976,15.83001269816475,21.874083504942778,remote,6.140207355352653e-05,0.0018566207034272884,0.002082628145524,0.0017804875070053,0.0018876092608042,0.0019169083044445,花蓮縣
15,2023-07,38.3,-0.05,8159085,3533182244,13529,0.001658151618717,0.454227281613073,42.0,0.5714685209876832,2023-07-01,2023,7,-0.4999999999999998,-0.8660254037844388,433.0365775083848,15.914642710862802,21.985464787632996,remote,0.00017359113461812368,0.0019535459090548957,0.0018639473186116,0.002082628145524,0.0017804875070053,0.0019090209903803001,花蓮縣
