county_code,county_name,month,actual_donation_ratio,predicted_donation_ratio,invoice_count,expected_donated_count,normalized_priority_score,rank,model_name
2,台北市,2023-03,0.024630714680274,0.015341977763403304,168243555,2581188.879645921,0.5960896349522252,22,Ridge
2,台北市,2023-02,0.0242952287937318,0.014756663683745713,149638846,2208170.1244458174,0.5095935940231718,23,Ridge
2,台北市,2023-01,0.024753166504223,0.012534815209854113,150601015,1887755.8934414673,0.4352955539036176,24,Ridge
18,高雄市,2024-08,0.0103995822073197,0.010083782263596594,76445571,770860.4929803141,0.1763084951431667,25,Ridge
18,高雄市,2024-09,0.0103160026636861,0.009793008111093354,74726522,731797.4360597959,0.16725050617315218,26,Ridge
18,高雄市,2024-10,0.0106666346309988,0.009582908351209755,74833256,717120.2338706175,0.16384713874569362,27,Ridge
18,高雄市,2024-07,0.0097272774736757,0.00928868314626572,75789449,703984.1775910654,0.16080113409910965,28,Ridge
18,高雄市,2024-06,0.0097029081949074,0.009336903159759569,74508383,695677.5566612761,0.15887498477307976,29,Ridge
18,高雄市,2024-05,0.0092526968566422,0.00913423701385749,75453677,689211.7692850475,0.15737569016192057,30,Ridge
18,高雄市,2024-11,0.0099672362330394,0.009098712395886274,74638243,679111.9067912719,0.15503372180922798,31,Ridge
1,台中市,2024-08,0.0049485930470327,0.006605941595904538,93106666,615057.1977853908,0.140180638272184,32,Ridge
18,高雄市,2024-04,0.0088167733682226,0.008361552535175037,72697003,607859.8097342773,0.13851169921007855,33,Ridge
1,台中市,2024-07,0.0050717603346298,0.006528656432131217,91691044,598619.3241794264,0.1363690042232596,34,Ridge
18,高雄市,2024-12,0.0093937360751257,0.007818480182513002,76188749,595680.2241869573,0.13568748215580537,35,Ridge
18,高雄市,2024-03,0.0087959553575281,0.007885111856451178,73413856,578876.4663733994,0.1317910064334956,36,Ridge
1,台中市,2023-05,0.0047166655547567,0.0067322785542253405,85198748,573581.7040072491,0.13056325052056175,37,Ridge
18,高雄市,2024-02,0.0092634608808599,0.008282782949117811,69073860,572123.7898377508,0.13022518761643695,38,Ridge
1,台中市,2024-06,0.005086455975727,0.006352010721631642,89141438,566227.3699176623,0.12885791862088936,39,Ridge
1,台中市,2023-07,0.0039011537489381,0.00639545805676899,88352324,565053.5823600643,0.12858573933979783,40,Ridge
1,台中市,2024-05,0.0053698125149205,0.006132344457258047,90060500,552282.0079928883,0.1256242512006851,41,Ridge
18,高雄市,2023-07,0.0074241616022837,0.0075495417036520445,72715012,548965.0155755589,0.12485510297987573,42,Ridge
1,台中市,2023-06,0.0045192366771725,0.0065022182715652,84062205,546590.8052990595,0.12430456822421684,43,Ridge
1,台中市,2024-04,0.0050139417150448,0.00630149514201855,86254094,543529.7543202114,0.12359476801427745,44,Ridge
18,高雄市,2023-06,0.0074165812912214,0.00761456195396939,70313933,535409.7990557528,0.12171190294890044,45,Ridge
18,高雄市,2023-05,0.0073673130324993,0.007277819976920493,71509246,520431.41907332186,0.11823869804981633,46,Ridge
1,台中市,2024-10,0.0053335358463098,0.005597530307352747,92201499,516100.685035854,0.11723448219381542,47,Ridge
18,高雄市,2023-08,0.0072626433700059,0.007068444647566865,72770887,514376.98671384313,0.116834788938365,48,Ridge
18,高雄市,2023-04,0.0072676536052442,0.007416283092199408,69103321,512489.7911471283,0.11639718374370896,49,Ridge
1,台中市,2023-08,0.0038891217382726,0.00573218848631354,88242545,505822.9004520044,0.11485125705129476,50,Ridge
1,台中市,2023-04,0.0045837914903281,0.00617765267142366,80874752,499616.127743526,0.11341202307513212,51,Ridge
18,高雄市,2023-09,0.0072402596456467,0.007112227561343953,70004948,497891.1205960502,0.11301202632764705,52,Ridge
18,高雄市,2023-10,0.0073344168353603,0.006669403218595861,73731288,491743.68949841836,0.11158655255610958,53,Ridge
1,台中市,2024-03,0.005180946413341,0.005601502653887426,86498675,484522.557570246,0.10991210773502215,54,Ridge
1,台中市,2024-11,0.0053715518688012,0.005202125735862222,89130853,463669.90425065253,0.10507676921687352,55,Ridge
1,台中市,2024-09,0.0059255774856446,0.005061925100231922,89818250,454653.2541339058,0.1029859774626554,56,Ridge
18,高雄市,2023-11,0.0078835203817456,0.006024584198878431,71037046,427968.66486660024,0.09679832257060669,57,Ridge
1,台中市,2024-12,0.0049010702095886,0.004444097029901956,91332297,405889.5898318233,0.09167859989913074,58,Ridge
1,台中市,2023-09,0.0041150221550795,0.004790700636971951,84609265,405337.6597292286,0.09155061767818745,59,Ridge
18,高雄市,2023-12,0.0081525821553909,0.005525066237537744,73192884,404395.53221641656,0.09133215600897497,60,Ridge
1,台中市,2023-10,0.0041575284299753,0.004547784297332701,88351290,401802.6093110877,0.09073090590393698,61,Ridge
18,高雄市,2024-01,0.0084728167462474,0.005358116898911575,71595789,383618.6069318075,0.08651437739933542,62,Ridge
1,台中市,2023-03,0.0045328198731414,0.004578098653564161,82294468,376752.19314657897,0.08492218505103288,63,Ridge
1,台中市,2024-02,0.0041393945343125,0.004643047658226681,79776643,370406.7554623359,0.08345079727227463,64,Ridge
1,台中市,2024-01,0.0045842227976283,0.0042440255990597985,84537776,358780.4854315831,0.0807548836904153,65,Ridge
1,台中市,2023-11,0.004384997280045,0.004198783011832496,84398456,354370.8032776924,0.0797323612495197,66,Ridge
1,台中市,2023-12,0.0043099435292875,0.003224592131709777,87034319,280650.18023611873,0.06263793385404297,67,Ridge
18,高雄市,2023-03,0.0074067612587539,0.003815587984954682,69792448,266299.22602937446,0.05931021720405405,68,Ridge
1,台中市,2023-02,0.0044359488218992,0.003317560754585145,73104315,242528.00643483014,0.05379811800174924,69,Ridge
18,高雄市,2023-02,0.0073832287430704,0.0036510771718499388,62070947,226625.81762680743,0.050110699192841356,70,Ridge
1,台中市,2023-01,0.004314509206442,0.002791987756620204,79677197,222457.75850581605,0.04914420459358029,71,Ridge
18,高雄市,2023-01,0.0076003610724822,0.0030551970618884964,69219343,211478.73335945208,0.04659837493975611,72,Ridge
17,雲林縣,2024-06,0.0059036259727468,0.008054555174107391,12346480,99445.40436601342,0.02061995086604913,73,Ridge
17,雲林縣,2024-05,0.0069832347669813,0.007994119854420695,12286140,98216.87570819228,0.02033507815231009,74,Ridge
17,雲林縣,2024-08,0.0055734021560452,0.0074100011433878635,12832198,95086.60185217946,0.019609226457738903,75,Ridge
