county_label,month,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,carrier_usage_ratio,n_active_industries,industry_hhi,industry_entropy,top1_industry_share,top3_industry_share,row_count_per_county_month,date,year,month_num,month_sin,month_cos,time_index,avg_invoice_value,log_total_county_invoice_count,log_total_county_invoice_amount,county_name,donation_count_lag1,donation_count_lag2,donation_count_lag3,donation_count_roll3_mean,donation_count_roll3_std,donation_count_roll3_min,donation_count_roll3_max
0,2022-08,38.07,0.01,18409414,11968629921,17889,0.3498078754706695,54.0,0.49973016414371635,1.2895710640470746,0.6946815906253181,0.8488888348102769,166.0,2022-08-01,2022,8,-0.8660254037844384,-0.5000000000000004,44,650.1363878828516,16.728372776495803,23.205554890650372,南投縣,16415.0,14659.0,12297.0,14457.0,1687.2233600405923,12297.0,16415.0
0,2022-09,38.07,0.01,17419835,11413988619,17512,0.35591812436799775,54.0,0.5223621351566217,1.2183724098086683,0.7107871572836367,0.8675362883747176,156.0,2022-09-01,2022,9,-1.0,-1.8369701987210297e-16,45,655.2294335164484,16.673120114878184,23.158105512039228,南投縣,17889.0,16415.0,14659.0,16321.0,1320.3161237622855,14659.0,17889.0
0,2022-10,37.86,-0.16,18507628,12142560916,17214,0.36086634116484295,54.0,0.5124131155870412,1.249167673277455,0.703603076526068,0.8594281773979896,158.0,2022-10-01,2022,10,-0.8660254037844386,0.5000000000000001,46,656.0841246647058,16.733693583422337,23.219982549013263,南投縣,17512.0,17889.0,16415.0,17272.0,625.2300909798462,16415.0,17889.0
0,2022-11,37.86,-0.16,17736949,11334503890,17074,0.36523423504234015,54.0,0.5063887279259612,1.2655905629068704,0.6992254981395053,0.8557214659635093,156.0,2022-11-01,2022,11,-0.5000000000000004,0.8660254037844384,47,639.0334600387023,16.69116059221775,23.151117352060986,南投縣,17214.0,17512.0,17889.0,17538.333333333332,276.19598516673307,17214.0,17889.0
0,2022-12,37.86,-0.16,17741006,11576683038,17318,0.37166122372090965,54.0,0.5161267443490855,1.2469571337127445,0.7069257515611008,0.8595772415611606,163.0,2022-12-01,2022,12,-2.4492935982947064e-16,1.0,48,652.5381389307912,16.691389297608968,23.17225882928609,南投縣,17074.0,17214.0,17512.0,17266.666666666668,182.64963424241748,17074.0,17512.0
0,2023-01,39.7,0.33,9332770,5227299297,15186,0.3727704636458415,54.0,0.5392722549647939,1.1807751437016987,0.7229888875435696,0.8662135678903476,90.0,2023-01-01,2023,1,0.49999999999999994,0.8660254037844387,49,560.1015879529872,16.049042527656265,22.377160595034077,南投縣,17318.0,17074.0,17214.0,17202.0,99.97332977682932,17074.0,17318.0
0,2023-02,39.7,0.33,8468893,4491774661,15476,0.39105677684202644,51.0,0.4716476782891734,1.3471321066479995,0.6728072960657314,0.8349296655418837,90.0,2023-02-01,2023,2,0.8660254037844386,0.5000000000000001,50,530.3851000360968,15.951910479589724,22.225513708272263,南投縣,15186.0,17318.0,17074.0,16526.0,952.7448066857497,15186.0,17318.0
0,2023-03,39.7,0.33,8952439,4749332009,18536,0.39856892630041935,52.0,0.49646463077926906,1.2867631244720066,0.6920215820515504,0.8538865218740949,91.0,2023-03-01,2023,3,1.0,6.123233995736766e-17,51,530.5070505367308,16.00743667879373,22.281269815630026,南投縣,15476.0,15186.0,17318.0,15993.333333333334,944.1332297698008,15186.0,17318.0
0,2023-04,40.13,-0.01,9017793,4638559339,17566,0.40177890532639193,53.0,0.5159066324761306,1.2400592801146206,0.7063019743300828,0.8591759646733963,91.0,2023-04-01,2023,4,0.8660254037844387,-0.4999999999999998,52,514.3785557064793,16.01471029449977,22.25766966790452,南投縣,18536.0,15476.0,15186.0,16399.333333333332,1515.483054636009,15186.0,18536.0
0,2023-05,40.13,-0.01,8969747,4810545717,21294,0.4091410827975416,51.0,0.5240762173178536,1.211851893705943,0.7120898727689867,0.8677929266009399,89.0,2023-05-01,2023,5,0.49999999999999994,-0.8660254037844387,53,536.3078487052087,16.00936813999486,22.29407636951422,南投縣,17566.0,18536.0,15476.0,17192.666666666668,1276.8276660884542,15476.0,18536.0
0,2023-06,40.13,-0.01,8925940,4861641274,20101,0.4145152219262061,53.0,0.5231232593797256,1.2214979582970003,0.711550268095013,0.8645493919968094,92.0,2023-06-01,2023,6,1.2246467991473532e-16,-1.0,54,544.6643461641015,16.004472314245856,22.30464192875267,南投縣,21294.0,17566.0,18536.0,19132.0,1579.2209049612618,17566.0,21294.0
0,2023-07,40.45,0.08,9448166,5156124532,19851,0.41594104083268646,54.0,0.5172681307437126,1.2358677067417356,0.7069290484523663,0.8624146739166098,96.0,2023-07-01,2023,7,-0.4999999999999997,-0.8660254037844388,55,545.7275551678495,16.061331312401684,22.363451074757275,南投縣,20101.0,21294.0,17566.0,19653.666666666668,1554.4723291915564,17566.0,21294.0
0,2023-08,40.45,0.08,9008919,5369058876,19947,0.4264716998787535,54.0,0.5272573996443195,1.1978772109706897,0.713862784203077,0.8719060522133677,93.0,2023-08-01,2023,8,-0.8660254037844384,-0.5000000000000004,56,595.9714895871525,16.01372575558527,22.403918474428412,南投縣,19851.0,20101.0,21294.0,20415.333333333332,629.6381676981011,19851.0,21294.0
0,2023-09,40.45,0.08,8723385,5060715553,18225,0.43020421545076826,54.0,0.5367381943523709,1.1746666839879993,0.7209022644306081,0.8762721122591747,95.0,2023-09-01,2023,9,-1.0,-1.8369701987210297e-16,57,580.1320878305842,15.981518023267453,22.344773724081783,南投縣,19947.0,19851.0,20101.0,19966.333333333332,102.97356726634051,19851.0,20101.0
0,2023-10,41.86,0.34,9407801,5385422773,19401,0.4336263065088218,54.0,0.5312029809976099,1.1985774854397158,0.7174905166467701,0.87001425731688,95.0,2023-10-01,2023,10,-0.8660254037844386,0.5000000000000001,58,572.4422501071185,16.057049902980708,22.40696165403665,南投縣,18225.0,19947.0,19851.0,19341.0,790.103790650317,18225.0,19947.0
0,2023-11,41.86,0.34,9068235,5171374731,19423,0.4317643951662038,54.0,0.5167297185140722,1.2436299388626295,0.7073850644585192,0.8565937031847983,94.0,2023-11-01,2023,11,-0.5000000000000004,0.8660254037844384,59,570.2735682302014,16.02028831585537,22.366404395729404,南投縣,19401.0,18225.0,19947.0,19191.0,718.515135539955,18225.0,19947.0
0,2023-12,41.86,0.34,9283571,5331091111,21115,0.4423021055152161,53.0,0.5215542868750799,1.2277933887693746,0.7105318632237531,0.8622122887841328,94.0,2023-12-01,2023,12,-2.4492935982947064e-16,1.0,60,574.2500500076964,16.043756944495176,22.396821765618288,南投縣,19423.0,19401.0,18225.0,19016.333333333332,559.6292423461169,18225.0,19423.0
0,2024-01,42.17,0.07,8829159,5072524476,22197,0.44954428841976907,53.0,0.5246258912340592,1.2123138012365438,0.712323676581201,0.869421311814636,96.0,2024-01-01,2024,1,0.49999999999999994,0.8660254037844387,61,574.5195523152319,15.99357043781715,22.347104455083848,南投縣,21115.0,19423.0,19401.0,19979.666666666668,802.8521380400973,19401.0,21115.0
0,2024-02,42.17,0.07,9383386,5032841595,19447,0.4502259632077376,52.0,0.5206988875517883,1.218323118952123,0.7092810633602838,0.8587736878777023,94.0,2024-02-01,2024,2,0.8660254037844386,0.5000000000000001,62,536.35666218996,16.054451343226077,22.33925059116766,南投縣,22197.0,21115.0,19423.0,20911.666666666668,1141.5712368875143,19423.0,22197.0
0,2024-03,42.17,0.07,9329954,4908401825,23329,0.4591398842909622,53.0,0.5068397771222912,1.2525147727408825,0.6987864034485057,0.8621133609018865,93.0,2024-03-01,2024,3,1.0,6.123233995736766e-17,63,526.0906779390338,16.04874074966077,22.31421423208192,南投縣,19447.0,22197.0,21115.0,20919.666666666668,1131.1473035030506,19447.0,22197.0
0,2024-04,42.89,0.07,9113002,5053959440,24298,0.46600582332803175,53.0,0.5224459350081483,1.2053242025132558,0.7096812883394517,0.8718102991747396,97.0,2024-04-01,2024,4,0.8660254037844387,-0.4999999999999998,64,554.5877681141736,16.025212852678255,22.3434378207516,南投縣,23329.0,19447.0,22197.0,21657.666666666668,1630.0595762800274,19447.0,23329.0
0,2024-05,42.89,0.07,9282122,4990203022,23669,0.4693369684216605,55.0,0.5290320375109909,1.1814844869413144,0.7141278686059072,0.8778478671148687,99.0,2024-05-01,2024,5,0.49999999999999994,-0.8660254037844387,65,537.6144616500408,16.043600850149886,22.33074243185413,南投縣,24298.0,23329.0,19447.0,22358.0,2096.0567740402453,19447.0,24298.0
0,2024-06,42.89,0.07,9385415,4980583934,24243,0.47286156232835735,56.0,0.5211669632503431,1.207898770278421,0.7084363344615022,0.8702247050343539,101.0,2024-06-01,2024,6,1.2246467991473532e-16,-1.0,66,530.6727442526516,16.054667553072587,22.32881297713312,南投縣,23669.0,24298.0,23329.0,23765.333333333332,401.41444363096304,23329.0,24298.0
0,2024-07,43.21,0.07,9631066,5387716680,24082,0.4758181493097441,57.0,0.5160643045193322,1.2234225837725492,0.7049192685420285,0.8669850253336442,104.0,2024-07-01,2024,7,-0.4999999999999997,-0.8660254037844388,67,559.4102127428055,16.08050457722112,22.407387510778644,南投縣,24243.0,23669.0,24298.0,24070.0,284.43745651138613,23669.0,24298.0
0,2024-08,43.21,0.07,9863736,5579776312,24901,0.4806296518884934,56.0,0.523740717996123,1.2047725827760878,0.7105197259942886,0.8706047079929958,103.0,2024-08-01,2024,8,-0.8660254037844384,-0.5000000000000004,68,565.6858934586246,16.104375660859347,22.44241452526013,南投縣,24082.0,24243.0,23669.0,23998.0,241.74504476134908,23669.0,24243.0
0,2024-09,43.21,0.07,9526880,5286326380,26008,0.483808760055758,57.0,0.5300301205979948,1.1817274272265532,0.7149191550644073,0.8766959382295149,103.0,2024-09-01,2024,9,-1.0,-1.8369701987210297e-16,69,554.8853748551467,16.06962793979533,22.38838939564162,南投縣,24901.0,24082.0,24243.0,24408.666666666668,354.28268687902636,24082.0,24901.0
0,2024-10,42.35,-0.22,9824911,5317233363,21452,0.487466502241089,58.0,0.5246051058247777,1.1996421525345617,0.7110001301792963,0.8728654132337688,105.0,2024-10-01,2024,10,-0.8660254037844386,0.5000000000000001,70,541.1991378853203,16.100431758936484,22.394218960669093,南投縣,26008.0,24901.0,24082.0,24997.0,789.2109984028352,24082.0,26008.0
0,2024-11,42.35,-0.22,9581368,5331731835,20565,0.48542744626863304,57.0,0.517399741633358,1.2260243253607346,0.7060954135150638,0.86542694112156,103.0,2024-11-01,2024,11,-0.5000000000000004,0.8660254037844384,71,556.4687459035077,16.075331041616458,22.39694194467479,南投縣,21452.0,26008.0,24901.0,24120.333333333332,1940.1656859373863,21452.0,26008.0
0,2024-12,42.35,-0.22,9636155,5449389173,20665,0.4918532339921888,57.0,0.5126305004218886,1.2298400475489237,0.7026776758987376,0.8628318037640532,104.0,2024-12-01,2024,12,-2.4492935982947064e-16,1.0,72,565.5148939592607,16.081032831876016,22.4187693611752,南投縣,20565.0,21452.0,26008.0,22675.0,2384.443890442102,20565.0,26008.0
1,2019-01,39.97,0.28,71712735,43207280539,142706,0.1620706280411701,66.0,0.5447828343923057,1.0853929255566412,0.7221647033821817,0.8993963763897723,112.0,2019-01-01,2019,1,0.49999999999999994,0.8660254037844387,1,602.5049879773794,18.088178918805447,24.48927484901524,台中市,,,,,,,
1,2019-02,39.97,0.28,65231607,37505004795,120008,0.1508419837027777,67.0,0.5534276010851141,1.0695061195754794,0.7281153291225831,0.9039369365835185,110.0,2019-02-01,2019,2,0.8660254037844386,0.5000000000000001,2,574.9514157301077,17.993454694702535,24.347740222244287,台中市,142706.0,,,142706.0,0.0,142706.0,142706.0
1,2019-03,39.97,0.28,72328601,40660278165,145434,0.17059225298716893,67.0,0.5405300864204319,1.0887729460831055,0.7185269213212073,0.90066520158464,109.0,2019-03-01,2019,3,1.0,6.123233995736766e-17,3,562.1604400311849,18.096730210559038,24.42851748639227,台中市,120008.0,142706.0,,131357.0,11349.0,120008.0,142706.0
1,2019-04,38.0,-0.48,72288137,43247205931,152179,0.17039916245178652,70.0,0.546451613083868,1.0755115825040604,0.7224489268550385,0.9025136033039557,118.0,2019-04-01,2019,4,0.8660254037844387,-0.4999999999999998,4,598.2614537569283,18.09617060727859,24.49019846550913,台中市,145434.0,120008.0,142706.0,136049.33333333334,11397.478590557748,120008.0,145434.0
1,2019-05,38.0,-0.48,74486109,42679292127,160900,0.17174870820544538,68.0,0.5525469483284202,1.05727036912128,0.7269057912529704,0.9053118212954311,114.0,2019-05-01,2019,5,0.49999999999999994,-0.8660254037844387,5,572.9832407677518,18.12612322301412,24.476979677675413,台中市,152179.0,145434.0,120008.0,139207.0,13852.194940393621,120008.0,152179.0
1,2019-06,38.0,-0.48,75090950,42683972535,157568,0.16970477800587155,69.0,0.5497472952019931,1.061202452463521,0.7239901745816241,0.9073253967355588,115.0,2019-06-01,2019,6,1.2246467991473532e-16,-1.0,6,568.4303173018852,18.134210616798107,24.477089336274414,台中市,160900.0,152179.0,145434.0,152837.66666666666,6331.122614162165,145434.0,160900.0
1,2019-07,38.49,0.12,78733016,46616790761,179854,0.1760148753859499,70.0,0.535958788544932,1.097526218226053,0.7138078642891058,0.8998340035646545,118.0,2019-07-01,2019,7,-0.4999999999999997,-0.8660254037844388,7,592.0869430557569,18.181573155269813,24.565226629960623,台中市,157568.0,160900.0,152179.0,156882.33333333334,3593.1939676127827,152179.0,160900.0
1,2019-08,38.49,0.12,76380703,45318671766,178413,0.17729036874667153,71.0,0.5371642635236078,1.0974770398883988,0.7147196196924241,0.9014849077783429,120.0,2019-08-01,2019,8,-0.8660254037844384,-0.5000000000000004,8,593.3261934758574,18.1512406567917,24.536984964799416,台中市,179854.0,157568.0,160900.0,166107.33333333334,9815.079871752898,157568.0,179854.0
1,2019-09,38.49,0.12,75745879,47325869761,176978,0.18486074998218716,68.0,0.5472849001909068,1.0646703521862206,0.7221471943047885,0.9070287506994275,119.0,2019-09-01,2019,9,-1.0,-1.8369701987210297e-16,9,624.7979478989214,18.14289461143565,24.580322912362085,台中市,178413.0,179854.0,157568.0,171945.0,10183.081295298916,157568.0,179854.0
1,2019-10,40.16,0.41,78351700,51620832297,181808,0.19562702532299875,69.0,0.5472779604860626,1.0665095784646241,0.7223672619738947,0.9052151644444218,119.0,2019-10-01,2019,10,-0.8660254037844386,0.5000000000000001,10,658.8348727213322,18.176718236805048,24.667191154663655,台中市,176978.0,178413.0,179854.0,178415.0,1174.12293507395,176978.0,179854.0
