month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label,date,year
2019-01,-0.17808837095543276,-0.16865859606474926,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,10,0,0,2019-01-01,2019
2019-01,-0.2053084217282291,-0.27953262752840013,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,12,0,0,2019-01-01,2019
2019-01,-0.20329805431793993,-0.27430360523937053,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,12,1,0,2019-01-01,2019
2019-01,-0.20469469273368246,-0.2753151658427641,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,19,0,0,2019-01-01,2019
2019-01,-0.2052886240187276,-0.2784021192519541,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,19,1,0,2019-01-01,2019
2019-01,-0.20511224442498693,1.0576544545894562,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,24,1,0,2019-01-01,2019
2019-01,-0.19972366785703188,-0.26204227866859253,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,29,1,0,2019-01-01,2019
2019-01,-0.202317167801729,-0.27019024803677777,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,29,0,0,2019-01-01,2019
2019-01,-0.20485487420146736,-0.2774796392942518,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,42,1,0,2019-01-01,2019
2019-01,-0.1867939637607763,-0.20378880526738663,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,42,0,0,2019-01-01,2019
2019-01,-0.054610056794546766,0.3990492061989831,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,44,1,0,2019-01-01,2019
2019-01,-0.19752432231059197,-0.2067878092273423,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,44,0,0,2019-01-01,2019
2019-01,-0.2053084217282291,-0.2792461724560698,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,45,1,0,2019-01-01,2019
2019-01,-0.20439592729938702,-0.2782564099653876,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,49,1,0,2019-01-01,2019
2019-01,-0.06333544730939182,-0.24912976573901965,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,51,1,0,2019-01-01,2019
2019-01,-0.20508164796484823,-0.2794628632450188,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,51,0,0,2019-01-01,2019
2019-01,-0.20530302235291054,-0.2793573006798506,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,53,1,0,2019-01-01,2019
2019-01,-0.0773864216801417,-0.12956842506041386,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,60,0,0,2019-01-01,2019
2019-01,-0.20000623516537153,-0.27869694861896654,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,67,1,0,2019-01-01,2019
2019-01,-0.20410796061572878,-0.27945445024019183,-2.0088923944914887,2.3737520344338554,-1.1748078359634913,-1.2635521785623915,-1.3832499772509619,0.0009502762571561,67,0,0,2019-01-01,2019
