month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label
2019-02,1,500,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,45,0,0
2019-02,71,1122509,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,45,1,0
2019-02,757,476458,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,49,1,0
2019-02,160,44880,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,51,0,0
2019-02,78896,10249160,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,51,1,0
2019-02,8,39743,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,53,1,0
2019-02,71666,31638035,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,60,0,0
2019-02,486,23749,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,67,0,0
2019-02,2307,159733,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,67,1,0
2019-02,619,68874,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,76,1,0
2019-02,1,99,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,76,0,0
2019-02,19,26378,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,78,1,0
2019-02,78097,45486522,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,79,1,0
2019-02,307,132508,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,79,0,0
2019-02,27553,3096310,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,80,1,0
2019-02,4540,654405,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,80,0,0
2019-02,14,17562493,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,84,1,0
2019-02,1231,247632,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,87,0,0
2019-02,6052,4367143,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,87,1,0
2019-02,5564188,1599511642,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,88,1,0
2019-02,672504,156169992,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,88,0,0
2019-02,9661,36563261,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,89,1,0
2019-02,262049,140749587,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,89,0,0
2019-02,470,1424942,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,90,1,0
2019-02,196487,268963633,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,90,0,0
2019-02,76,43300,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,93,0,0
2019-02,791,21332106,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,93,1,0
2019-02,1278,1307450,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,94,0,0
2019-02,360,782603,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,94,1,0
2019-02,40587,95140869,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,99,1,0
2019-02,308,139778,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,99,0,0
2019-02,116,64423,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,100,0,0
2019-02,46364,13691271,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,100,1,0
2019-02,19656,3077132,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,101,0,0
2019-02,804222,162881155,32.5,0.88,8123085,3103666052,6111,0.0007523003883376,101,1,0
2019-03,24014,6668291,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,0,1,0
2019-03,2430,334610,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,0,0,0
2019-03,109,609728,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,1,1,0
2019-03,119,222000,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,2,1,0
2019-03,455,664218,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,4,0,0
2019-03,60556,66122194,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,4,1,0
2019-03,84,703840,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,6,1,0
2019-03,921,933490,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,8,1,0
2019-03,10,8765,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,9,0,0
2019-03,722,3211982,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,9,1,0
2019-03,16235,25596841,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,10,0,0
2019-03,323,493617,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,10,1,0
2019-03,1094,1251087,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,12,1,0
2019-03,3,4698,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,12,0,0
2019-03,274,3689403,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,19,0,0
2019-03,11,275772,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,19,1,0
2019-03,102,265432644,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,24,1,0
2019-03,1440,1213367,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,29,0,0
2019-03,2324,3655755,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,29,1,0
2019-03,235,327250,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,42,1,0
2019-03,10108,16509214,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,42,0,0
2019-03,88151,131598240,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,44,1,0
2019-03,5588,22195625,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,44,0,0
2019-03,87,1226030,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,45,1,0
2019-03,2,800,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,45,0,0
2019-03,1,390,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,49,0,0
2019-03,788,503552,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,49,1,0
2019-03,155,31600,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,51,0,0
2019-03,91914,9309480,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,51,1,0
2019-03,3,46484,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,53,1,0
2019-03,70970,32866941,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,60,0,0
2019-03,619,25030,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,67,0,0
2019-03,2982,195237,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,67,1,0
2019-03,621,72905,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,76,1,0
2019-03,52,44154,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,78,1,0
2019-03,282,107044,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,79,0,0
2019-03,71249,40166781,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,79,1,0
2019-03,6540,915030,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,80,0,0
2019-03,28483,2802102,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,80,1,0
2019-03,16,16746071,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,84,1,0
2019-03,1702,354460,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,87,0,0
2019-03,7625,4067801,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,87,1,0
2019-03,677142,146167829,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,88,0,0
2019-03,5336838,1502090950,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,88,1,0
2019-03,10553,35374433,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,89,1,0
2019-03,395780,218774817,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,89,0,0
2019-03,443,1727614,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,90,1,0
2019-03,224877,309959838,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,90,0,0
2019-03,705,41002052,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,93,1,0
2019-03,69,40960,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,93,0,0
2019-03,1308,1326250,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,94,0,0
2019-03,413,934617,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,94,1,0
2019-03,40647,128964184,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,99,1,0
2019-03,363,166451,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,99,0,0
2019-03,42888,11501723,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,100,1,0
2019-03,97,48549,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,100,0,0
2019-03,802217,139968588,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,101,1,0
2019-03,22415,3106123,32.5,0.88,8056154,3202359501,7092,0.0008803208081672,101,0,0
