month,industry_invoice_count,industry_invoice_amount,housing_burden,price_income_ratio,total_county_invoice_count,total_county_invoice_amount,donation_count,donation_ratio,industry_label,carrier_type_label,county_label,date,year
2019-02,-0.2069523887639948,-0.2584684952837824,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,13,0,6,2019-02-01,2019
2019-02,-0.20673146223478883,-0.254332312422185,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,16,1,6,2019-02-01,2019
2019-02,-0.20546980742750515,-0.25570003409050623,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,19,0,6,2019-02-01,2019
2019-02,-0.20700898977560955,-0.1573320151416631,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,19,1,6,2019-02-01,2019
2019-02,-0.20704002904004346,-0.2588923411550978,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,28,1,6,2019-02-01,2019
2019-02,-0.20689578775238004,-0.2586622376008854,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,29,1,6,2019-02-01,2019
2019-02,-0.20683005754534356,-0.2585570711731382,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,40,0,6,2019-02-01,2019
2019-02,-0.18481591570537362,-0.2259335596850025,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,40,1,6,2019-02-01,2019
2019-02,-0.09379783735068323,0.6508539804930499,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,44,1,6,2019-02-01,2019
2019-02,-0.19361098257467238,-0.1954622059022538,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,44,0,6,2019-02-01,2019
2019-02,-0.2070345515227904,-0.2588808262368299,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,50,1,6,2019-02-01,2019
2019-02,-0.20690309110871744,-0.2550534453671909,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,50,0,6,2019-02-01,2019
2019-02,-0.0820266527738991,-0.1100927974382332,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,60,0,6,2019-02-01,2019
2019-02,-0.20559396448524075,-0.24514501352005424,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,67,1,6,2019-02-01,2019
2019-02,-0.20697247299392263,-0.2582214800160462,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,67,0,6,2019-02-01,2019
2019-02,-0.20701994481011562,-0.18918549082202551,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,69,1,6,2019-02-01,2019
2019-02,-0.20506264531169582,-0.25768378019291316,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,70,1,6,2019-02-01,2019
2019-02,-0.206842838418934,-0.25770114997588794,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,73,1,6,2019-02-01,2019
2019-02,-0.20697977635026,-0.25537157196831817,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,76,1,6,2019-02-01,2019
2019-02,-0.2069761246720913,-0.25883571429365687,-1.172292653471096,-0.439021385851404,-1.2124620783231663,-1.467420763080322,-1.5260127912086818,0.0007768437438547,76,0,6,2019-02-01,2019
